行號,科目,科目_2,性別,類別,報考人數,出席人數,中文作答%,表現 -  5**,表現 -  5*,表現 -  5+,表現 -  4+,表現 -  3+,表現 -  2+,表現 -  1+,表現 -  U
148,科學,組合科學 (生物、物理),女生,百分比,,,,0.0%,0.0%,0.0%,8.3%,25.0%,83.3%,100.0%,0.0%
149,科學,組合科學 (生物、物理),總數,數字,46,46,100.0,0,1,1,6,22,37,44,2
150,科學,組合科學 (生物、物理),總數,百分比,,,,0.0%,2.2%,2.2%,13.0%,47.8%,80.4%,95.7%,4.3%
151,科學,組合科學 (化學、物理),男生,數字,237,233,73.8,1,2,5,56,111,175,212,21
152,科學,組合科學 (化學、物理),男生,百分比,,,,0.4%,0.9%,2.1%,24.0%,47.6%,75.1%,91.0%,9.0%
153,科學,組合科學 (化學、物理),女生,數字,130,127,60.6,0,0,3,24,52,92,121,6
154,科學,組合科學 (化學、物理),女生,百分比,,,,0.0%,0.0%,2.4%,18.9%,40.9%,72.4%,95.3%,4.7%
155,科學,組合科學 (化學、物理),總數,數字,367,360,69.2,1,2,8,80,163,267,333,27
156,科學,組合科學 (化學、物理),總數,百分比,,,,0.3%,0.6%,2.2%,22.2%,45.3%,74.2%,92.5%,7.5%
157,科學,組合科學 (生物),男生,數字,297,272,89.3,0,5,8,41,118,205,247,25
158,科學,組合科學 (生物),男生,百分比,,,,0.0%,1.8%,2.9%,15.1%,43.4%,75.4%,90.8%,9.2%
159,科學,組合科學 (生物),女生,數字,226,219,63.0,2,2,8,44,103,183,209,10
160,科學,組合科學 (生物),女生,百分比,,,,0.9%,0.9%,3.7%,20.1%,47.0%,83.6%,95.4%,4.6%
161,科學,組合科學 (生物),總數,數字,523,491,77.6,2,7,16,85,221,388,456,35
162,科學,組合科學 (生物),總數,百分比,,,,0.4%,1.4%,3.3%,17.3%,45.0%,79.0%,92.9%,7.1%
163,科學,組合科學 (化學),男生,數字,500,471,80.9,2,3,8,87,206,311,390,81
164,科學,組合科學 (化學),男生,百分比,,,,0.4%,0.6%,1.7%,18.5%,43.7%,66.0%,82.8%,17.2%
165,科學,組合科學 (化學),女生,數字,344,334,60.8,0,3,6,68,158,221,289,45
166,科學,組合科學 (化學),女生,百分比,,,,0.0%,0.9%,1.8%,20.4%,47.3%,66.2%,86.5%,13.5%
167,科學,組合科學 (化學),總數,數字,844,805,72.5,2,6,14,155,364,532,679,126
168,科學,組合科學 (化學),總數,百分比,,,,0.2%,0.7%,1.7%,19.3%,45.2%,66.1%,84.3%,15.7%
169,科學,組合科學 (物理),男生,數字,271,267,77.2,3,9,21,69,133,201,249,18
170,科學,組合科學 (物理),男生,百分比,,,,1.1%,3.4%,7.9%,25.8%,49.8%,75.3%,93.3%,6.7%
171,科學,組合科學 (物理),女生,數字,142,139,64.0,0,1,5,22,56,102,132,7
172,科學,組合科學 (物理),女生,百分比,,,,0.0%,0.7%,3.6%,15.8%,40.3%,73.4%,95.0%,5.0%
173,科學,組合科學 (物理),總數,數字,413,406,72.7,3,10,26,91,189,303,381,25
174,科學,組合科學 (物理),總數,百分比,,,,0.7%,2.5%,6.4%,22.4%,46.6%,74.6%,93.8%,6.2%
175,科學,組合科學,男生,數字,534,505,82.2,1,5,12,90,222,366,455,50
176,科學,組合科學,男生,百分比,,,,0.2%,1.0%,2.4%,17.8%,44.0%,72.5%,90.1%,9.9%
177,科學,組合科學,女生,數字,356,346,62.1,0,2,6,69,153,262,326,20
178,科學,組合科學,女生,百分比,,,,0.0%,0.6%,1.7%,19.9%,44.2%,75.7%,94.2%,5.8%
179,科學,組合科學,總數,數字,890,851,74.0,1,7,18,159,375,628,781,70
180,科學,組合科學,總數,百分比,,,,0.1%,0.8%,2.1%,18.7%,44.1%,73.8%,91.8%,8.2%
181,科學,綜合科學,男生,數字,60,58,77.6,0,1,4,12,27,49,55,3
182,科學,綜合科學,男生,百分比,,,,0.0%,1.7%,6.9%,20.7%,46.6%,84.5%,94.8%,5.2%
183,科學,綜合科學,女生,數字,71,71,52.1,1,1,4,20,43,62,69,2
184,科學,綜合科學,女生,百分比,,,,1.4%,1.4%,5.6%,28.2%,60.6%,87.3%,97.2%,2.8%
185,科學,綜合科學,總數,數字,131,129,63.6,1,2,8,32,70,111,124,5
186,科學,綜合科學,總數,百分比,,,,0.8%,1.6%,6.2%,24.8%,54.3%,86.0%,96.1%,3.9%
187,科技與生活,食品科學與科技,男生,數字,27,25,96.0,0,0,0,0,4,12,20,5
188,科技與生活,食品科學與科技,男生,百分比,,,,0.0%,0.0%,0.0%,0.0%,16.0%,48.0%,80.0%,20.0%
189,科技與生活,食品科學與科技,女生,數字,132,131,56.5,1,5,8,31,72,109,125,6
190,科技與生活,食品科學與科技,女生,百分比,,,,0.8%,3.8%,6.1%,23.7%,55.0%,83.2%,95.4%,4.6%
191,科技與生活,食品科學與科技,總數,數字,159,156,62.8,1,5,8,31,76,121,145,11
192,科技與生活,食品科學與科技,總數,百分比,,,,0.6%,3.2%,5.1%,19.9%,48.7%,77.6%,92.9%,7.1%
193,科技與生活,服裝、成衣與紡織,男生,數字,8,7,100.0,0,0,0,2,2,2,4,3
194,科技與生活,服裝、成衣與紡織,男生,百分比,,,,0.0%,0.0%,0.0%,28.6%,28.6%,28.6%,57.1%,42.9%
195,科技與生活,服裝、成衣與紡織,女生,數字,45,44,72.7,0,1,2,7,21,38,40,4
196,科技與生活,服裝、成衣與紡織,女生,百分比,,,,0.0%,2.3%,4.5%,15.9%,47.7%,86.4%,90.9%,9.1%
197,科技與生活,服裝、成衣與紡織,總數,數字,53,51,76.5,0,1,2,9,23,40,44,7
198,科技與生活,服裝、成衣與紡織,總數,百分比,,,,0.0%,2.0%,3.9%,17.6%,45.1%,78.4%,86.3%,13.7%
199,旅遊與款待,,男生,數字,1474,1379,89.3,3,14,41,154,400,915,1220,159
200,旅遊與款待,,男生,百分比,,,,0.2%,1.0%,3.0%,11.2%,29.0%,66.4%,88.5%,11.5%
201,旅遊與款待,,女生,數字,2399,2334,88.9,15,59,134,416,910,1846,2203,131
202,旅遊與款待,,女生,百分比,,,,0.6%,2.5%,5.7%,17.8%,39.0%,79.1%,94.4%,5.6%
203,旅遊與款待,,總數,數字,3873,3713,89.0,18,73,175,570,1310,2761,3423,290
204,旅遊與款待,,總數,百分比,,,,0.5%,2.0%,4.7%,15.4%,35.3%,74.4%,92.2%,7.8%
205,視覺藝術,,男生,數字,924,889,90.1,3,18,50,174,363,690,839,50
206,視覺藝術,,男生,百分比,,,,0.3%,2.0%,5.6%,19.6%,40.8%,77.6%,94.4%,5.6%
207,視覺藝術,,女生,數字,2716,2684,84.4,20,82,204,778,1638,2409,2638,46
208,視覺藝術,,女生,百分比,,,,0.7%,3.1%,7.6%,29.0%,61.0%,89.8%,98.3%,1.7%
209,視覺藝術,,總數,數字,3640,3573,85.8,23,100,254,952,2001,3099,3477,96
210,視覺藝術,,總數,百分比,,,,0.6%,2.8%,7.1%,26.6%,56.0%,86.7%,97.3%,2.7%
211,所有甲類學科,,男生,數字,153083,150113,58.8,2043,7468,17821,47421,83930,122022,140956,9157
212,所有甲類學科,,男生,百分比,,,,1.4%,5.0%,11.9%,31.6%,55.9%,81.3%,93.9%,6.1%
213,所有甲類學科,,女生,數字,152130,150527,51.7,1882,7906,20355,59773,100438,132661,145447,5080
214,所有甲類學科,,女生,百分比,,,,1.3%,5.3%,13.5%,39.7%,66.7%,88.1%,96.6%,3.4%
215,所有甲類學科,,總數,數字,305213,300640,55.3,3925,15374,38176,107194,184368,254683,286403,14237
216,所有甲類學科,,總數,百分比,,,,1.3%,5.1%,12.7%,35.7%,61.3%,84.7%,95.3%,4.7%
