行號,科目,科目_2,性別,類別,報考人數,出席人數,中文作答%,表現 - 5**,表現 - 5*+,表現 - 5+,表現 - 4+,表現 - 3+,表現 - 2+,表現 - 1+,表現 - U
114,數學,延伸部分 (微積分與統計),總數,百分比,,,20.8,2.9%,11.2%,27.3%,52.8%,72.2%,87.2%,95.4%,4.6%
115,數學,延伸部分 (代數與微積分),男生,人數,3074,2967,,139,474,1123,1783,2425,2751,2915,52
116,數學,延伸部分 (代數與微積分),男生,百分比,,,14.3,4.7%,16.0%,37.8%,60.1%,81.7%,92.7%,98.2%,1.8%
117,數學,延伸部分 (代數與微積分),女生,人數,1274,1242,,26,164,441,718,1012,1156,1221,21
118,數學,延伸部分 (代數與微積分),女生,百分比,,,12.1,2.1%,13.2%,35.5%,57.8%,81.5%,93.1%,98.3%,1.7%
119,數學,延伸部分 (代數與微積分),總數,人數,4348,4209,,165,638,1564,2501,3437,3907,4136,73
120,數學,延伸部分 (代數與微積分),總數,百分比,,,13.7,3.9%,15.2%,37.2%,59.4%,81.7%,92.8%,98.3%,1.7%
121,音樂,,男生,人數,80,80,,3,11,21,45,68,78,80,0
122,音樂,,男生,百分比,,,11.3,3.8%,13.8%,26.3%,56.3%,85.0%,97.5%,100.0%,0.0%
123,音樂,,女生,人數,115,115,,1,6,22,60,94,111,112,3
124,音樂,,女生,百分比,,,9.6,0.9%,5.2%,19.1%,52.2%,81.7%,96.5%,97.4%,2.6%
125,音樂,,總數,人數,195,195,,4,17,43,105,162,189,192,3
126,音樂,,總數,百分比,,,10.3,2.1%,8.7%,22.1%,53.8%,83.1%,96.9%,98.5%,1.5%
127,體育,,男生,人數,742,711,,1,7,12,59,236,444,617,94
128,體育,,男生,百分比,,,90.9,0.1%,1.0%,1.7%,8.3%,33.2%,62.4%,86.8%,13.2%
129,體育,,女生,人數,239,228,,2,3,12,41,116,187,221,7
130,體育,,女生,百分比,,,87.3,0.9%,1.3%,5.3%,18.0%,50.9%,82.0%,96.9%,3.1%
131,體育,,總數,人數,981,939,,3,10,24,100,352,631,838,101
132,體育,,總數,百分比,,,90,0.3%,1.1%,2.6%,10.6%,37.5%,67.2%,89.2%,10.8%
133,物理,,男生,人數,6941,6695,,206,798,1866,3346,4853,6005,6538,157
134,物理,,男生,百分比,,,28.8,3.1%,11.9%,27.9%,50.0%,72.5%,89.7%,97.7%,2.3%
135,物理,,女生,人數,2742,2645,,42,204,610,1240,1926,2412,2615,30
136,物理,,女生,百分比,,,16.4,1.6%,7.7%,23.1%,46.9%,72.8%,91.2%,98.9%,1.1%
137,物理,,總數,人數,9683,9340,,248,1002,2476,4586,6779,8417,9153,187
138,物理,,總數,百分比,,,25.3,2.7%,10.7%,26.5%,49.1%,72.6%,90.1%,98.0%,2.0%
139,科學,組合科學 (生物、化學),男生,人數,117,116,,0,1,2,9,31,70,101,15
140,科學,組合科學 (生物、化學),男生,百分比,,,94.8,0.0%,0.9%,1.7%,7.8%,26.7%,60.3%,87.1%,12.9%
141,科學,組合科學 (生物、化學),女生,人數,74,71,,0,0,0,7,25,39,56,15
142,科學,組合科學 (生物、化學),女生,百分比,,,81.7,0.0%,0.0%,0.0%,9.9%,35.2%,54.9%,78.9%,21.1%
143,科學,組合科學 (生物、化學),總數,人數,191,187,,0,1,2,16,56,109,157,30
144,科學,組合科學 (生物、化學),總數,百分比,,,89.8,0.0%,0.5%,1.1%,8.6%,29.9%,58.3%,84.0%,16.0%
145,科學,組合科學 (生物、物理),男生,人數,11,11,,0,0,0,1,6,10,10,1
146,科學,組合科學 (生物、物理),男生,百分比,,,100,0.0%,0.0%,0.0%,9.1%,54.5%,90.9%,90.9%,9.1%
147,科學,組合科學 (生物、物理),女生,人數,14,14,,0,0,0,1,3,12,14,0
148,科學,組合科學 (生物、物理),女生,百分比,,,100,0.0%,0.0%,0.0%,7.1%,21.4%,85.7%,100.0%,0.0%
149,科學,組合科學 (生物、物理),總數,人數,25,25,,0,0,0,2,9,22,24,1
150,科學,組合科學 (生物、物理),總數,百分比,,,100,0.0%,0.0%,0.0%,8.0%,36.0%,88.0%,96.0%,4.0%
