行號,科目,科目_2,性別,類別,報考人數,應考人數,達標並表現優異(II),"達標並表現優異(I)
或以上",達標或以上,未達標,
133,工程及生產,物聯網應用,男生,人數,18,17,1,6,15,2,
134,工程及生產,物聯網應用,男生,百分比,,,5.9%,35.3%,88.2%,11.8%,
135,工程及生產,物聯網應用,女生,人數,2,2,0,0,2,0,
136,工程及生產,物聯網應用,女生,百分比,,,0.0%,0.0%,100.0%,0.0%,
137,工程及生產,物聯網應用,總數,人數,20,19,1,6,17,2,
138,工程及生產,物聯網應用,總數,百分比,,,5.3%,31.6%,89.5%,10.5%,
139,媒體及傳意,電影及錄像,男生,人數,97,95,9,23,85,10,
140,媒體及傳意,電影及錄像,男生,百分比,,,9.5%,24.2%,89.5%,10.5%,
141,媒體及傳意,電影及錄像,女生,人數,52,50,5,18,49,1,
142,媒體及傳意,電影及錄像,女生,百分比,,,10.0%,36.0%,98.0%,2.0%,
143,媒體及傳意,電影及錄像,總數,人數,149,145,14,41,134,11,
144,媒體及傳意,電影及錄像,總數,百分比,,,9.7%,28.3%,92.4%,7.6%,
145,媒體及傳意,雜誌編輯與製作,男生,人數,3,3,0,2,3,0,
146,媒體及傳意,雜誌編輯與製作,男生,百分比,,,0.0%,66.7%,100.0%,0.0%,
147,媒體及傳意,雜誌編輯與製作,女生,人數,13,12,3,6,11,1,
148,媒體及傳意,雜誌編輯與製作,女生,百分比,,,25.0%,50.0%,91.7%,8.3%,
149,媒體及傳意,雜誌編輯與製作,總數,人數,16,15,3,8,14,1,
150,媒體及傳意,雜誌編輯與製作,總數,百分比,,,20.0%,53.3%,93.3%,6.7%,
151,媒體及傳意,新媒體傳播策略,男生,人數,0,0,-,-,-,-,
152,媒體及傳意,新媒體傳播策略,男生,百分比,,,-,-,-,-,
153,媒體及傳意,新媒體傳播策略,女生,人數,0,0,-,-,-,-,
154,媒體及傳意,新媒體傳播策略,女生,百分比,,,-,-,-,-,
155,媒體及傳意,新媒體傳播策略,總數,人數,0,0,-,-,-,-,
156,媒體及傳意,新媒體傳播策略,總數,百分比,,,-,-,-,-,
157,媒體及傳意,公關及傳訊,男生,人數,3,1,0,0,1,0,
158,媒體及傳意,公關及傳訊,男生,百分比,,,0.0%,0.0%,100.0%,0.0%,
159,媒體及傳意,公關及傳訊,女生,人數,11,8,2,5,8,0,
160,媒體及傳意,公關及傳訊,女生,百分比,,,25.0%,62.5%,100.0%,0.0%,
161,媒體及傳意,公關及傳訊,總數,人數,14,9,2,5,9,0,
162,媒體及傳意,公關及傳訊,總數,百分比,,,22.2%,55.6%,100.0%,0.0%,
163,服務,幼兒教育,男生,人數,8,8,0,1,8,0,
164,服務,幼兒教育,男生,百分比,,,0.0%,12.5%,100.0%,0.0%,
165,服務,幼兒教育,女生,人數,169,165,17,59,165,0,
166,服務,幼兒教育,女生,百分比,,,10.3%,35.8%,100.0%,0.0%,
167,服務,幼兒教育,總數,人數,177,173,17,60,173,0,
168,服務,幼兒教育,總數,百分比,,,9.8%,34.7%,100.0%,0.0%,
169,服務,美容學基礎,男生,人數,2,2,0,0,2,0,
170,服務,美容學基礎,男生,百分比,,,0.0%,0.0%,100.0%,0.0%,
171,服務,美容學基礎,女生,人數,98,88,5,20,87,1,
172,服務,美容學基礎,女生,百分比,,,5.7%,22.7%,98.9%,1.1%,
173,服務,美容學基礎,總數,人數,100,90,5,20,89,1,
174,服務,美容學基礎,總數,百分比,,,5.6%,22.2%,98.9%,1.1%,
175,服務,酒店服務營運,男生,人數,57,55,2,7,45,10,
176,服務,酒店服務營運,男生,百分比,,,3.6%,12.7%,81.8%,18.2%,
177,服務,酒店服務營運,女生,人數,101,101,9,33,92,9,
178,服務,酒店服務營運,女生,百分比,,,8.9%,32.7%,91.1%,8.9%,
