行號,科目,科目_2,性別,類別,報考人數,出席人數,中文作答%,表現 - 5**,表現 - 5*,表現 - 5+,表現 - 4+,表現 - 3+,表現 - 2+,表現 - 1+,表現 - U
182,科學,綜合科學,男生,百分比,,,67.4,0.0%,2.2%,6.5%,23.9%,45.7%,80.4%,91.3%,8.7%
183,科學,綜合科學,女生,人數,27,27,,1,1,2,8,15,23,27,0
184,科學,綜合科學,女生,百分比,,,40.7,3.7%,3.7%,7.4%,29.6%,55.6%,85.2%,100.0%,0.0%
185,科學,綜合科學,總數,人數,81,73,,1,2,5,19,36,60,69,4
186,科學,綜合科學,總數,百分比,,,57.5,1.4%,2.7%,6.8%,26.0%,49.3%,82.2%,94.5%,5.5%
187,科技與生活,食品科學與科技,男生,人數,41,38,,0,0,0,1,5,16,28,10
188,科技與生活,食品科學與科技,男生,百分比,,,92.1,0.0%,0.0%,0.0%,2.6%,13.2%,42.1%,73.7%,26.3%
189,科技與生活,食品科學與科技,女生,人數,139,137,,1,6,13,46,88,123,135,2
190,科技與生活,食品科學與科技,女生,百分比,,,46.0,0.7%,4.4%,9.5%,33.6%,64.2%,89.8%,98.5%,1.5%
191,科技與生活,食品科學與科技,總數,人數,180,175,,1,6,13,47,93,139,163,12
192,科技與生活,食品科學與科技,總數,百分比,,,56.0,0.6%,3.4%,7.4%,26.9%,53.1%,79.4%,93.1%,6.9%
193,科技與生活,服裝、成衣與紡織,男生,人數,11,10,,0,0,0,1,2,7,8,2
194,科技與生活,服裝、成衣與紡織,男生,百分比,,,100.0,0.0%,0.0%,0.0%,10.0%,20.0%,70.0%,80.0%,20.0%
195,科技與生活,服裝、成衣與紡織,女生,人數,36,34,,0,1,1,6,15,26,33,1
196,科技與生活,服裝、成衣與紡織,女生,百分比,,,85.3,0.0%,2.9%,2.9%,17.6%,44.1%,76.5%,97.1%,2.9%
197,科技與生活,服裝、成衣與紡織,總數,人數,47,44,,0,1,1,7,17,33,41,3
198,科技與生活,服裝、成衣與紡織,總數,百分比,,,88.6,0.0%,2.3%,2.3%,15.9%,38.6%,75.0%,93.2%,6.8%
199,旅遊與款待,,男生,人數,1450,1292,,6,20,47,151,416,918,1175,117
200,旅遊與款待,,男生,百分比,,,91.6,0.5%,1.5%,3.6%,11.7%,32.2%,71.1%,90.9%,9.1%
201,旅遊與款待,,女生,人數,2409,2278,,13,54,131,432,962,1836,2157,121
202,旅遊與款待,,女生,百分比,,,86.0,0.6%,2.4%,5.8%,19.0%,42.2%,80.6%,94.7%,5.3%
203,旅遊與款待,,總數,人數,3859,3570,,19,74,178,583,1378,2754,3332,238
204,旅遊與款待,,總數,百分比,,,88.0,0.5%,2.1%,5.0%,16.3%,38.6%,77.1%,93.3%,6.7%
205,視覺藝術,,男生,人數,974,917,,4,11,36,137,348,677,848,69
206,視覺藝術,,男生,百分比,,,88.3,0.4%,1.2%,3.9%,14.9%,37.9%,73.8%,92.5%,7.5%
207,視覺藝術,,女生,人數,2644,2587,,23,94,227,775,1574,2370,2537,50
208,視覺藝術,,女生,百分比,,,83.1,0.9%,3.6%,8.8%,30.0%,60.8%,91.6%,98.1%,1.9%
209,視覺藝術,,總數,人數,3618,3504,,27,105,263,912,1922,3047,3385,119
210,視覺藝術,,總數,百分比,,,84.5,0.8%,3.0%,7.5%,26.0%,54.9%,87.0%,96.6%,3.4%
211,所有甲類學科,,男生,人數,157871,150848,,2203,7829,18500,49764,86332,124438,141936,8912
212,所有甲類學科,,男生,百分比,,,57.9,1.5%,5.2%,12.3%,33.0%,57.2%,82.5%,94.1%,5.9%
213,所有甲類學科,,女生,人數,151657,147562,,1971,8084,20943,59383,97731,129785,142139,5423
214,所有甲類學科,,女生,百分比,,,51.4,1.3%,5.5%,14.2%,40.2%,66.2%,88.0%,96.3%,3.7%
215,所有甲類學科,,總數,人數,309528,298410,,4174,15913,39443,109147,184063,254223,284075,14335
216,所有甲類學科,,總數,百分比,,,54.7,1.4%,5.3%,13.2%,36.6%,61.7%,85.2%,95.2%,4.8%
