行號,科目,科目_2,性別,類別,報考人數,出席人數,中文作答%,表現 -  5**,表現 -  5*,表現 -  5+,表現 -  4+,表現 -  3+,表現 -  2+,表現 -  1+,表現 -  U
180,科學,組合科學,總數,百分比,,,84.6,0.5%,1.3%,2.1%,16.1%,39.7%,65.6%,87.2%,12.8%
181,科學,綜合科學,男生,人數,65,64,,0,0,2,11,23,44,56,8
182,科學,綜合科學,男生,百分比,,,79.7,0.0%,0.0%,3.1%,17.2%,35.9%,68.8%,87.5%,12.5%
183,科學,綜合科學,女生,人數,43,42,,1,4,8,15,30,38,39,3
184,科學,綜合科學,女生,百分比,,,38.1,2.4%,9.5%,19.0%,35.7%,71.4%,90.5%,92.9%,7.1%
185,科學,綜合科學,總數,人數,108,106,,1,4,10,26,53,82,95,11
186,科學,綜合科學,總數,百分比,,,63.2,0.9%,3.8%,9.4%,24.5%,50.0%,77.4%,89.6%,10.4%
187,科技與生活,食品科學與科技,男生,人數,34,31,,0,0,0,0,1,13,28,3
188,科技與生活,食品科學與科技,男生,百分比,,,96.8,0.0%,0.0%,0.0%,0.0%,3.2%,41.9%,90.3%,9.7%
189,科技與生活,食品科學與科技,女生,人數,161,158,,1,2,6,33,78,123,151,7
190,科技與生活,食品科學與科技,女生,百分比,,,58.2,0.6%,1.3%,3.8%,20.9%,49.4%,77.8%,95.6%,4.4%
191,科技與生活,食品科學與科技,總數,人數,195,189,,1,2,6,33,79,136,179,10
192,科技與生活,食品科學與科技,總數,百分比,,,64.6,0.5%,1.1%,3.2%,17.5%,41.8%,72.0%,94.7%,5.3%
193,科技與生活,服裝、成衣與紡織,男生,人數,16,13,,0,0,0,0,0,2,8,5
194,科技與生活,服裝、成衣與紡織,男生,百分比,,,100.0,0.0%,0.0%,0.0%,0.0%,0.0%,15.4%,61.5%,38.5%
195,科技與生活,服裝、成衣與紡織,女生,人數,39,37,,1,1,2,7,17,29,35,2
196,科技與生活,服裝、成衣與紡織,女生,百分比,,,70.3,2.7%,2.7%,5.4%,18.9%,45.9%,78.4%,94.6%,5.4%
197,科技與生活,服裝、成衣與紡織,總數,人數,55,50,,1,1,2,7,17,31,43,7
198,科技與生活,服裝、成衣與紡織,總數,百分比,,,78.0,2.0%,2.0%,4.0%,14.0%,34.0%,62.0%,86.0%,14.0%
199,旅遊與款待,,男生,人數,1485,1353,,5,17,48,154,378,906,1205,148
200,旅遊與款待,,男生,百分比,,,90.8,0.4%,1.3%,3.5%,11.4%,27.9%,67.0%,89.1%,10.9%
201,旅遊與款待,,女生,人數,2345,2266,,13,50,117,401,892,1788,2152,114
