行號,科目,科目_2,性別,類別,報考人數,出席人數,中文作答%,表現 -  5**,表現 -  5*+,表現 -  5+,表現 -  4+,表現 -  3+,表現 -  2+,表現 -  1+,表現 -  U
149,科學,組合科學 (生物、物理),總數,人數,32,32,,0,1,1,7,18,22,27,5
150,科學,組合科學 (生物、物理),總數,百分比,,,100.0,0.0%,3.1%,3.1%,21.9%,56.3%,68.8%,84.4%,15.6%
151,科學,組合科學 (化學、物理),男生,人數,250,237,,1,3,6,56,120,168,211,26
152,科學,組合科學 (化學、物理),男生,百分比,,,78.1,0.4%,1.3%,2.5%,23.6%,50.6%,70.9%,89.0%,11.0%
153,科學,組合科學 (化學、物理),女生,人數,101,99,,0,2,3,20,39,67,86,13
154,科學,組合科學 (化學、物理),女生,百分比,,,78.8,0.0%,2.0%,3.0%,20.2%,39.4%,67.7%,86.9%,13.1%
155,科學,組合科學 (化學、物理),總數,人數,351,336,,1,5,9,76,159,235,297,39
156,科學,組合科學 (化學、物理),總數,百分比,,,78.3,0.3%,1.5%,2.7%,22.6%,47.3%,69.9%,88.4%,11.6%
157,科學,組合科學 (生物),男生,人數,232,219,,0,1,2,29,78,149,195,24
158,科學,組合科學 (生物),男生,百分比,,,97.3,0.0%,0.5%,0.9%,13.2%,35.6%,68.0%,89.0%,11.0%
159,科學,組合科學 (生物),女生,人數,173,170,,1,2,4,22,64,120,156,14
160,科學,組合科學 (生物),女生,百分比,,,81.2,0.6%,1.2%,2.4%,12.9%,37.6%,70.6%,91.8%,8.2%
161,科學,組合科學 (生物),總數,人數,405,389,,1,3,6,51,142,269,351,38
162,科學,組合科學 (生物),總數,百分比,,,90.2,0.3%,0.8%,1.5%,13.1%,36.5%,69.2%,90.2%,9.8%
163,科學,組合科學 (化學),男生,人數,457,431,,0,2,6,65,165,250,352,79
164,科學,組合科學 (化學),男生,百分比,,,86.5,0.0%,0.5%,1.4%,15.1%,38.3%,58.0%,81.7%,18.3%
165,科學,組合科學 (化學),女生,人數,267,262,,1,3,7,46,101,156,223,39
166,科學,組合科學 (化學),女生,百分比,,,79.8,0.4%,1.1%,2.7%,17.6%,38.5%,59.5%,85.1%,14.9%
167,科學,組合科學 (化學),總數,人數,724,693,,1,5,13,111,266,406,575,118
168,科學,組合科學 (化學),總數,百分比,,,84.0,0.1%,0.7%,1.9%,16.0%,38.4%,58.6%,83.0%,17.0%
169,科學,組合科學 (物理),男生,人數,275,262,,3,9,21,73,132,184,234,28
170,科學,組合科學 (物理),男生,百分比,,,80.2,1.1%,3.4%,8.0%,27.9%,50.4%,70.2%,89.3%,10.7%
171,科學,組合科學 (物理),女生,人數,108,106,,1,3,7,18,36,72,97,9
172,科學,組合科學 (物理),女生,百分比,,,80.2,0.9%,2.8%,6.6%,17.0%,34.0%,67.9%,91.5%,8.5%
173,科學,組合科學 (物理),總數,人數,383,368,,4,12,28,91,168,256,331,37
174,科學,組合科學 (物理),總數,百分比,,,80.2,1.1%,3.3%,7.6%,24.7%,45.7%,69.6%,89.9%,10.1%
175,科學,組合科學,男生,人數,482,456,,1,4,7,74,189,296,397,59
176,科學,組合科學,男生,百分比,,,87.3,0.2%,0.9%,1.5%,16.2%,41.4%,64.9%,87.1%,12.9%
177,科學,組合科學,女生,人數,274,269,,0,3,6,41,99,178,236,33
178,科學,組合科學,女生,百分比,,,80.3,0.0%,1.1%,2.2%,15.2%,36.8%,66.2%,87.7%,12.3%
179,科學,組合科學,總數,人數,756,725,,1,7,13,115,288,474,633,92
180,科學,組合科學,總數,百分比,,,84.7,0.1%,1.0%,1.8%,15.9%,39.7%,65.4%,87.3%,12.7%
181,科學,綜合科學,男生,人數,63,62,,0,0,2,11,23,43,55,7
182,科學,綜合科學,男生,百分比,,,79.0,0.0%,0.0%,3.2%,17.7%,37.1%,69.4%,88.7%,11.3%
183,科學,綜合科學,女生,人數,38,37,,1,4,8,14,28,36,36,1
184,科學,綜合科學,女生,百分比,,,32.4,2.7%,10.8%,21.6%,37.8%,75.7%,97.3%,97.3%,2.7%
185,科學,綜合科學,總數,人數,101,99,,1,4,10,25,51,79,91,8
186,科學,綜合科學,總數,百分比,,,61.6,1.0%,4.0%,10.1%,25.3%,51.5%,79.8%,91.9%,8.1%
