No.,Subject,Subject_2,Gender,Type,No. entered,No. of candidates fulfilling attendance requirement,Attained with Distinction (II),Attained with Distinction (I) or above,Attained or above,Unattained
158,Engineering and Production,Constructing Smart Cities,Male,Percentage,,,11.8%,29.4%,70.6%,29.4%
159,Engineering and Production,Constructing Smart Cities,Female,Number,1,1,0,1,1,0
160,Engineering and Production,Constructing Smart Cities,Female,Percentage,,,0.0%,100.0%,100.0%,0.0%
161,Engineering and Production,Constructing Smart Cities,Total,Number,22,18,2,6,13,5
162,Engineering and Production,Constructing Smart Cities,Total,Percentage,,,11.1%,33.3%,72.2%,27.8%
163,Engineering and Production,Electrical and Energy Engineering,Male,Number,67,62,4,13,62,0
164,Engineering and Production,Electrical and Energy Engineering,Male,Percentage,,,6.5%,21.0%,100.0%,0.0%
165,Engineering and Production,Electrical and Energy Engineering,Female,Number,3,3,1,1,3,0
166,Engineering and Production,Electrical and Energy Engineering,Female,Percentage,,,33.3%,33.3%,100.0%,0.0%
167,Engineering and Production,Electrical and Energy Engineering,Total,Number,70,65,5,14,65,0
168,Engineering and Production,Electrical and Energy Engineering,Total,Percentage,,,7.7%,21.5%,100.0%,0.0%
169,Engineering and Production,eSports Technology,Male,Number,40,33,3,8,26,7
170,Engineering and Production,eSports Technology,Male,Percentage,,,9.1%,24.2%,78.8%,21.2%
171,Engineering and Production,eSports Technology,Female,Number,4,3,1,3,3,0
172,Engineering and Production,eSports Technology,Female,Percentage,,,33.3%,100.0%,100.0%,0.0%
173,Engineering and Production,eSports Technology,Total,Number,44,36,4,11,29,7
174,Engineering and Production,eSports Technology,Total,Percentage,,,11.1%,30.6%,80.6%,19.4%
175,Engineering and Production,Railway Studies,Male,Number,47,44,1,4,40,4
176,Engineering and Production,Railway Studies,Male,Percentage,,,2.3%,9.1%,90.9%,9.1%
177,Engineering and Production,Railway Studies,Female,Number,0,0,-,-,-,-
178,Engineering and Production,Railway Studies,Female,Percentage,,,-,-,-,-
179,Engineering and Production,Railway Studies,Total,Number,47,44,1,4,40,4
180,Engineering and Production,Railway Studies,Total,Percentage,,,2.3%,9.1%,90.9%,9.1%
181,Engineering and Production,Tech Basics,Male,Number,72,53,6,15,50,3
182,Engineering and Production,Tech Basics,Male,Percentage,,,11.3%,28.3%,94.3%,5.7%
183,Engineering and Production,Tech Basics,Female,Number,22,20,2,5,18,2
184,Engineering and Production,Tech Basics,Female,Percentage,,,10.0%,25.0%,90.0%,10.0%
185,Engineering and Production,Tech Basics,Total,Number,94,73,8,20,68,5
186,Engineering and Production,Tech Basics,Total,Percentage,,,11.0%,27.4%,93.2%,6.8%
187,Media and Communication,Digital Media and Radio Production,Male,Number,7,7,1,3,7,0
188,Media and Communication,Digital Media and Radio Production,Male,Percentage,,,14.3%,42.9%,100.0%,0.0%
189,Media and Communication,Digital Media and Radio Production,Female,Number,11,11,2,6,11,0
190,Media and Communication,Digital Media and Radio Production,Female,Percentage,,,18.2%,54.5%,100.0%,0.0%
191,Media and Communication,Digital Media and Radio Production,Total,Number,18,18,3,9,18,0
192,Media and Communication,Digital Media and Radio Production,Total,Percentage,,,16.7%,50.0%,100.0%,0.0%
193,Media and Communication,Film and Transmedia,Male,Number,46,44,2,11,42,2
194,Media and Communication,Film and Transmedia,Male,Percentage,,,4.5%,25.0%,95.5%,4.5%
195,Media and Communication,Film and Transmedia,Female,Number,38,37,7,21,36,1
196,Media and Communication,Film and Transmedia,Female,Percentage,,,18.9%,56.8%,97.3%,2.7%
197,Media and Communication,Film and Transmedia,Total,Number,84,81,9,32,78,3
198,Media and Communication,Film and Transmedia,Total,Percentage,,,11.1%,39.5%,96.3%,3.7%
199,Media and Communication,PR and Multimedia Communication,Male,Number,11,10,0,3,10,0
200,Media and Communication,PR and Multimedia Communication,Male,Percentage,,,0.0%,30.0%,100.0%,0.0%
201,Media and Communication,PR and Multimedia Communication,Female,Number,21,19,5,12,19,0
202,Media and Communication,PR and Multimedia Communication,Female,Percentage,,,26.3%,63.2%,100.0%,0.0%
203,Media and Communication,PR and Multimedia Communication,Total,Number,32,29,5,15,29,0
204,Media and Communication,PR and Multimedia Communication,Total,Percentage,,,17.2%,51.7%,100.0%,0.0%
205,Services,Airport Passenger Terminal Operations,Male,Number,32,29,1,7,26,3
206,Services,Airport Passenger Terminal Operations,Male,Percentage,,,3.4%,24.1%,89.7%,10.3%
207,Services,Airport Passenger Terminal Operations,Female,Number,23,22,4,10,21,1
208,Services,Airport Passenger Terminal Operations,Female,Percentage,,,18.2%,45.5%,95.5%,4.5%
209,Services,Airport Passenger Terminal Operations,Total,Number,55,51,5,17,47,4
210,Services,Airport Passenger Terminal Operations,Total,Percentage,,,9.8%,33.3%,92.2%,7.8%
211,Services,Child Care and Development,Male,Number,6,6,0,1,6,0
212,Services,Child Care and Development,Male,Percentage,,,0.0%,16.7%,100.0%,0.0%
213,Services,Child Care and Development,Female,Number,37,37,3,13,37,0
214,Services,Child Care and Development,Female,Percentage,,,8.1%,35.1%,100.0%,0.0%
215,Services,Child Care and Development,Total,Number,43,43,3,14,43,0
216,Services,Child Care and Development,Total,Percentage,,,7.0%,32.6%,100.0%,0.0%
217,Services,Child Care and Education,Male,Number,11,11,1,2,11,0
218,Services,Child Care and Education,Male,Percentage,,,9.1%,18.2%,100.0%,0.0%
