行號,科目,科目_2,性別,類別,報考人數,出席人數,中文作答%,表現 - 5**,表現 - 5*+,表現 - 5+,表現 - 4+,表現 - 3+,表現 - 2+,表現 - 1+,表現 - U
115,數學,延伸部分 (代數與微積分),男生,人數,3562,3223,,176,616,1402,2076,2631,3015,3150,73
116,數學,延伸部分 (代數與微積分),男生,百分比,,,12.8,5.5%,19.1%,43.5%,64.4%,81.6%,93.5%,97.7%,2.3%
117,數學,延伸部分 (代數與微積分),女生,人數,1368,1255,,20,118,399,699,950,1144,1217,38
118,數學,延伸部分 (代數與微積分),女生,百分比,,,14.3,1.6%,9.4%,31.8%,55.7%,75.7%,91.2%,97.0%,3.0%
119,數學,延伸部分 (代數與微積分),總數,人數,4930,4478,,196,734,1801,2775,3581,4159,4367,111
120,數學,延伸部分 (代數與微積分),總數,百分比,,,13.2,4.4%,16.4%,40.2%,62.0%,80.0%,92.9%,97.5%,2.5%
121,音樂,,男生,人數,86,83,,4,17,38,60,75,81,81,2
122,音樂,,男生,百分比,,,2.4,4.8%,20.5%,45.8%,72.3%,90.4%,97.6%,97.6%,2.4%
123,音樂,,女生,人數,88,86,,1,4,13,44,63,84,85,1
124,音樂,,女生,百分比,,,7.0,1.2%,4.7%,15.1%,51.2%,73.3%,97.7%,98.8%,1.2%
125,音樂,,總數,人數,174,169,,5,21,51,104,138,165,166,3
126,音樂,,總數,百分比,,,4.7,3.0%,12.4%,30.2%,61.5%,81.7%,97.6%,98.2%,1.8%
127,體育,,男生,人數,862,820,,3,6,15,103,300,541,714,106
128,體育,,男生,百分比,,,88.2,0.4%,0.7%,1.8%,12.6%,36.6%,66.0%,87.1%,12.9%
129,體育,,女生,人數,255,243,,1,8,18,61,126,174,219,24
130,體育,,女生,百分比,,,78.2,0.4%,3.3%,7.4%,25.1%,51.9%,71.6%,90.1%,9.9%
131,體育,,總數,人數,1117,1063,,4,14,33,164,426,715,933,130
132,體育,,總數,百分比,,,85.9,0.4%,1.3%,3.1%,15.4%,40.1%,67.3%,87.8%,12.2%
133,物理,,男生,人數,7263,6792,,230,892,2127,3586,5005,6135,6623,169
134,物理,,男生,百分比,,,29.7,3.4%,13.1%,31.3%,52.8%,73.7%,90.3%,97.5%,2.5%
135,物理,,女生,人數,2680,2510,,41,199,583,1180,1790,2248,2445,65
136,物理,,女生,百分比,,,21.8,1.6%,7.9%,23.2%,47.0%,71.3%,89.6%,97.4%,2.6%
137,物理,,總數,人數,9943,9302,,271,1091,2710,4766,6795,8383,9068,234
138,物理,,總數,百分比,,,27.6,2.9%,11.7%,29.1%,51.2%,73.0%,90.1%,97.5%,2.5%
139,科學,組合科學 (生物、化學),男生,人數,96,82,,0,0,1,9,30,54,69,13
140,科學,組合科學 (生物、化學),男生,百分比,,,87.8,0.0%,0.0%,1.2%,11.0%,36.6%,65.9%,84.1%,15.9%
141,科學,組合科學 (生物、化學),女生,人數,68,64,,0,1,4,8,19,35,51,13
142,科學,組合科學 (生物、化學),女生,百分比,,,84.4,0.0%,1.6%,6.3%,12.5%,29.7%,54.7%,79.7%,20.3%
143,科學,組合科學 (生物、化學),總數,人數,164,146,,0,1,5,17,49,89,120,26
144,科學,組合科學 (生物、化學),總數,百分比,,,86.3,0.0%,0.7%,3.4%,11.6%,33.6%,61.0%,82.2%,17.8%
145,科學,組合科學 (生物、物理),男生,人數,11,10,,0,0,0,2,7,10,10,0
146,科學,組合科學 (生物、物理),男生,百分比,,,100.0,0.0%,0.0%,0.0%,20.0%,70.0%,100.0%,100.0%,0.0%
147,科學,組合科學 (生物、物理),女生,人數,4,4,,0,0,0,0,0,0,3,1
148,科學,組合科學 (生物、物理),女生,百分比,,,100.0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,75.0%,25.0%
149,科學,組合科學 (生物、物理),總數,人數,15,14,,0,0,0,2,7,10,13,1
150,科學,組合科學 (生物、物理),總數,百分比,,,100.0,0.0%,0.0%,0.0%,14.3%,50.0%,71.4%,92.9%,7.1%
151,科學,組合科學 (化學、物理),男生,人數,41,38,,0,0,3,9,16,27,33,5
152,科學,組合科學 (化學、物理),男生,百分比,,,73.7,0.0%,0.0%,7.9%,23.7%,42.1%,71.1%,86.8%,13.2%
153,科學,組合科學 (化學、物理),女生,人數,37,33,,0,0,0,4,18,25,30,3
154,科學,組合科學 (化學、物理),女生,百分比,,,66.7,0.0%,0.0%,0.0%,12.1%,54.5%,75.8%,90.9%,9.1%
155,科學,組合科學 (化學、物理),總數,人數,78,71,,0,0,3,13,34,52,63,8
156,科學,組合科學 (化學、物理),總數,百分比,,,70.4,0.0%,0.0%,4.2%,18.3%,47.9%,73.2%,88.7%,11.3%
157,科學,組合科學 (生物),男生,人數,107,91,,1,2,4,21,49,74,84,7
158,科學,組合科學 (生物),男生,百分比,,,89.0,1.1%,2.2%,4.4%,23.1%,53.8%,81.3%,92.3%,7.7%
159,科學,組合科學 (生物),女生,人數,72,67,,2,3,5,12,27,46,59,8
160,科學,組合科學 (生物),女生,百分比,,,85.1,3.0%,4.5%,7.5%,17.9%,40.3%,68.7%,88.1%,11.9%
161,科學,組合科學 (生物),總數,人數,179,158,,3,5,9,33,76,120,143,15
162,科學,組合科學 (生物),總數,百分比,,,87.3,1.9%,3.2%,5.7%,20.9%,48.1%,75.9%,90.5%,9.5%
163,科學,組合科學 (化學),男生,人數,137,119,,0,1,1,18,43,65,91,28
164,科學,組合科學 (化學),男生,百分比,,,83.2,0.0%,0.8%,0.8%,15.1%,36.1%,54.6%,76.5%,23.5%
165,科學,組合科學 (化學),女生,人數,105,95,,0,2,2,11,35,57,77,18
166,科學,組合科學 (化學),女生,百分比,,,77.9,0.0%,2.1%,2.1%,11.6%,36.8%,60.0%,81.1%,18.9%
167,科學,組合科學 (化學),總數,人數,242,214,,0,3,3,29,78,122,168,46
168,科學,組合科學 (化學),總數,百分比,,,80.8,0.0%,1.4%,1.4%,13.6%,36.4%,57.0%,78.5%,21.5%
169,科學,組合科學 (物理),男生,人數,52,45,,1,2,5,12,24,36,43,2
170,科學,組合科學 (物理),男生,百分比,,,77.8,2.2%,4.4%,11.1%,26.7%,53.3%,80.0%,95.6%,4.4%
171,科學,組合科學 (物理),女生,人數,41,37,,0,1,2,5,13,22,33,4
172,科學,組合科學 (物理),女生,百分比,,,70.3,0.0%,2.7%,5.4%,13.5%,35.1%,59.5%,89.2%,10.8%
173,科學,組合科學 (物理),總數,人數,93,82,,1,3,7,17,37,58,76,6
174,科學,組合科學 (物理),總數,百分比,,,74.4,1.2%,3.7%,8.5%,20.7%,45.1%,70.7%,92.7%,7.3%
175,科學,組合科學,男生,人數,148,130,,0,0,4,20,53,91,112,18
176,科學,組合科學,男生,百分比,,,84.6,0.0%,0.0%,3.1%,15.4%,40.8%,70.0%,86.2%,13.8%
177,科學,組合科學,女生,人數,109,101,,0,1,4,12,37,60,84,17
178,科學,組合科學,女生,百分比,,,79.2,0.0%,1.0%,4.0%,11.9%,36.6%,59.4%,83.2%,16.8%
179,科學,組合科學,總數,人數,257,231,,0,1,8,32,90,151,196,35
180,科學,組合科學,總數,百分比,,,82.3,0.0%,0.4%,3.5%,13.9%,39.0%,65.4%,84.8%,15.2%
181,科學,綜合科學,男生,人數,37,28,,0,0,1,2,7,16,27,1
182,科學,綜合科學,男生,百分比,,,85.7,0.0%,0.0%,3.6%,7.1%,25.0%,57.1%,96.4%,3.6%
183,科學,綜合科學,女生,人數,17,16,,0,1,2,2,4,8,13,3
184,科學,綜合科學,女生,百分比,,,75.0,0.0%,6.3%,12.5%,12.5%,25.0%,50.0%,81.3%,18.8%
185,科學,綜合科學,總數,人數,54,44,,0,1,3,4,11,24,40,4
186,科學,綜合科學,總數,百分比,,,81.8,0.0%,2.3%,6.8%,9.1%,25.0%,54.5%,90.9%,9.1%
187,科技與生活,食品科學與科技,男生,人數,55,45,,0,0,0,2,11,26,39,6
188,科技與生活,食品科學與科技,男生,百分比,,,82.2,0.0%,0.0%,0.0%,4.4%,24.4%,57.8%,86.7%,13.3%
189,科技與生活,食品科學與科技,女生,人數,125,115,,1,4,11,23,60,96,112,3
190,科技與生活,食品科學與科技,女生,百分比,,,57.4,0.9%,3.5%,9.6%,20.0%,52.2%,83.5%,97.4%,2.6%
191,科技與生活,食品科學與科技,總數,人數,180,160,,1,4,11,25,71,122,151,9
192,科技與生活,食品科學與科技,總數,百分比,,,64.4,0.6%,2.5%,6.9%,15.6%,44.4%,76.3%,94.4%,5.6%
193,科技與生活,服裝、成衣與紡織,男生,人數,15,4,,0,0,0,0,1,1,2,2
194,科技與生活,服裝、成衣與紡織,男生,百分比,,,100.0,0.0%,0.0%,0.0%,0.0%,25.0%,25.0%,50.0%,50.0%
195,科技與生活,服裝、成衣與紡織,女生,人數,32,23,,1,2,3,7,12,20,23,0
196,科技與生活,服裝、成衣與紡織,女生,百分比,,,65.2,4.3%,8.7%,13.0%,30.4%,52.2%,87.0%,100.0%,0.0%
197,科技與生活,服裝、成衣與紡織,總數,人數,47,27,,1,2,3,7,13,21,25,2
198,科技與生活,服裝、成衣與紡織,總數,百分比,,,70.4,3.7%,7.4%,11.1%,25.9%,48.1%,77.8%,92.6%,7.4%
199,旅遊與款待,,男生,人數,1439,1278,,3,9,38,153,367,859,1108,170
200,旅遊與款待,,男生,百分比,,,90.0,0.2%,0.7%,3.0%,12.0%,28.7%,67.2%,86.7%,13.3%
201,旅遊與款待,,女生,人數,2023,1866,,11,44,105,322,714,1397,1706,160
202,旅遊與款待,,女生,百分比,,,86.9,0.6%,2.4%,5.6%,17.3%,38.3%,74.9%,91.4%,8.6%
203,旅遊與款待,,總數,人數,3462,3144,,14,53,143,475,1081,2256,2814,330
204,旅遊與款待,,總數,百分比,,,88.1,0.4%,1.7%,4.5%,15.1%,34.4%,71.8%,89.5%,10.5%
205,視覺藝術,,男生,人數,923,815,,4,12,36,118,264,584,751,64
206,視覺藝術,,男生,百分比,,,84.3,0.5%,1.5%,4.4%,14.5%,32.4%,71.7%,92.1%,7.9%
207,視覺藝術,,女生,人數,2662,2557,,21,77,200,699,1448,2243,2465,92
208,視覺藝術,,女生,百分比,,,82.1,0.8%,3.0%,7.8%,27.3%,56.6%,87.7%,96.4%,3.6%
209,視覺藝術,,總數,人數,3585,3372,,25,89,236,817,1712,2827,3216,156
210,視覺藝術,,總數,百分比,,,82.6,0.7%,2.6%,7.0%,24.2%,50.8%,83.8%,95.4%,4.6%
211,所有甲類學科#,,男生,人數,141993,134481,,1998,7276,17599,45582,78276,111567,126173,8308
212,所有甲類學科#,,男生,百分比,,,56.7,1.5%,5.4%,13.1%,33.9%,58.2%,83.0%,93.8%,6.2%
213,所有甲類學科#,,女生,人數,134834,129920,,1726,7020,17614,49850,83444,113365,124711,5209
214,所有甲類學科#,,女生,百分比,,,51.4,1.3%,5.4%,13.6%,38.4%,64.2%,87.3%,96.0%,4.0%
215,所有甲類學科#,,總數,人數,276827,264401,,3724,14296,35213,95432,161720,224932,250884,13517
216,所有甲類學科#,,總數,百分比,,,54.2,1.4%,5.4%,13.3%,36.1%,61.2%,85.1%,94.9%,5.1%
